title,url,stars,name,reviewUrl,text
"Taman Kyai Langgeng - Tempat Wisata Magelang","https://www.google.com/maps/search/?api=1&query=Taman+Kyai+Langgeng",5,"Yusuf Noufal Rahman","https://www.google.com/maps/reviews","Tempat yang sangat bagus dan menyenangkan untuk dikunjungi bersama keluarga"
"Taman Kyai Langgeng - Tempat Wisata Magelang","https://www.google.com/maps/search/?api=1&query=Taman+Kyai+Langgeng",4,"Robi N","https://www.google.com/maps/reviews","Wahananya seru dan anak-anak sangat senang bermain di sini"
"Taman Kyai Langgeng - Tempat Wisata Magelang","https://www.google.com/maps/search/?api=1&query=Taman+Kyai+Langgeng",2,"Inun Rahma","https://www.google.com/maps/reviews","Kecewa karena banyak wahana yang tidak beroperasi dan pelayanan buruk"
"Taman Kyai Langgeng - Tempat Wisata Magelang","https://www.google.com/maps/search/?api=1&query=Taman+Kyai+Langgeng",3,"Desti Ramadianti","https://www.google.com/maps/reviews","Tempatnya lumayan bagus tapi harga tiket agak mahal"
"Taman Kyai Langgeng - Tempat Wisata Magelang","https://www.google.com/maps/search/?api=1&query=Taman+Kyai+Langgeng",1,"01 Alex","https://www.google.com/maps/reviews","Sangat mengecewakan, banyak yang rusak dan tidak terawat dengan baik"
"Taman Kyai Langgeng - Tempat Wisata Magelang","https://www.google.com/maps/search/?api=1&query=Taman+Kyai+Langgeng",5,"Budi Santoso","https://www.google.com/maps/reviews","Luar biasa! Tempat yang indah dengan udara sejuk dan pemandangan yang menarik"
"Taman Kyai Langgeng - Tempat Wisata Magelang","https://www.google.com/maps/search/?api=1&query=Taman+Kyai+Langgeng",2,"Siti Nurhaliza","https://www.google.com/maps/reviews","Jelek, kebersihan tidak terjaga dan staf kurang responsif"
"Taman Kyai Langgeng - Tempat Wisata Magelang","https://www.google.com/maps/search/?api=1&query=Taman+Kyai+Langgeng",4,"Ahmad Dahlan","https://www.google.com/maps/reviews","Memuaskan, ada berbagai wahana menarik dan cocok untuk liburan keluarga"
"Taman Kyai Langgeng - Tempat Wisata Magelang","https://www.google.com/maps/search/?api=1&query=Taman+Kyai+Langgeng",3,"Rina Wijaya","https://www.google.com/maps/reviews","Standar saja, tidak ada yang istimewa tapi cukup untuk menghabiskan waktu"
"Taman Kyai Langgeng - Tempat Wisata Magelang","https://www.google.com/maps/search/?api=1&query=Taman+Kyai+Langgeng",1,"Bambang Suryanto","https://www.google.com/maps/reviews","Sangat buruk, uang terbuang percuma, jangan datang ke sini"
